season,week,team,game_id,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,interceptionYards,interceptionTDs,passesIntercepted,thirdDownConversions,thirdDownAttempts,fourthDownConversions,fourthDownAttempts,penalties,penaltyYards,passCompletions,passAttempts,timeOfPossession
2025,1,North Carolina,401754523,ACC,home,14,1,1,126,0,6,2.0,0,4,3,0,41,0,3,2,27:51,1,2,3,3-25,1.8,28,50,8.2,13-21,172,222,1-1,1-10,10,,,,0,0,1,1,10,1,1,3,25,13,21,1671.0
2025,1,NC State,401754373,ACC,home,24,2,1,,,,6.0,,,9,0,35,1,9,3,32:07,1,0,1,7-63,2.9,36,105,9.4,24-34,318,423,0-0,7-15,21,,,,,,,7,15,0,0,7,63,24,34,1927.0
2025,1,Duke,401754517,ACC,home,45,2,3,58,0,3,9.0,0,2,10,1,22,3,5,1,27:07,0,1,1,3-15,6.4,25,159,11.4,27-34,389,548,0-0,5-9,23,82,1,4,,,,5,9,0,0,3,15,27,34,1627.0
2025,1,Wake Forest,401754374,ACC,home,10,1,0,47,0,2,4.0,,,3,0,35,2,6,5,35:01,0,0,0,8-75,2.8,47,130,7.8,20-28,218,348,1-2,6-17,20,,,,,,,6,17,1,2,8,75,20,28,2101.0
2025,2,North Carolina,401754527,ACC,away,20,1,1,19,0,1,8.0,,,5,0,34,1,5,5,29:38,0,0,0,5-55,4.5,33,148,6.2,17-25,155,303,1-2,5-15,15,8,0,2,34,0,2,5,15,1,2,5,55,17,25,1778.0
2025,2,Wake Forest,401754620,ACC,home,42,4,2,26,0,1,4.0,1,2,15,0,33,5,8,5,24:02,1,2,3,3-22,8.8,31,273,10.3,16-26,269,542,0-1,4-10,21,53,0,5,5,0,1,4,10,0,1,3,22,16,26,1442.0
2025,2,Duke,401752825,ACC,home,19,0,2,,,,7.0,0,4,10,0,33,4,3,4,23:48,1,4,5,6-69,3.4,24,82,9.1,25-39,356,438,1-2,4-10,21,4,0,1,,,,4,10,1,2,6,69,25,39,1428.0
2025,2,NC State,401754524,ACC,home,35,4,1,,,,5.0,,,5,0,31,0,4,2,27:35,0,0,0,1-15,6.7,33,220,8.7,16-23,200,420,2-2,1-7,22,8,0,1,0,0,1,1,7,2,2,1,15,16,23,1655.0
2025,3,Duke,401754534,ACC,away,27,0,3,,,,7.0,1,1,7,0,34,1,3,1,26:43,1,0,1,9-85,5.8,24,139,6.1,30-51,313,452,1-3,6-14,27,,,,,,,6,14,1,3,9,85,30,51,1603.0
2025,3,North Carolina,401754639,ACC,home,41,2,2,,,,11.0,2,1,4,1,33,3,0,3,21:59,1,0,1,4-50,6.2,31,193,6.3,10-19,119,312,0-0,6-11,16,22,0,1,7,0,1,6,11,0,0,4,50,10,19,1319.0
2025,3,Wake Forest,401754531,ACC,home,24,2,0,109,1,2,6.0,,,10,1,34,1,1,4,21:55,2,0,2,8-82,2.7,22,59,7.2,21-35,252,311,1-2,6-15,12,1,0,1,,,,6,15,1,2,8,82,21,35,1315.0
2025,3,NC State,401754531,ACC,away,34,0,3,19,0,1,10.0,,,3,1,29,1,2,3,38:05,0,0,0,10-94,4.7,44,205,6.3,23-32,201,406,2-2,7-18,24,13,0,2,46,1,2,7,18,2,2,10,94,23,32,2285.0
2025,4,North Carolina,401754640,ACC,away,9,0,1,27,0,2,3.0,,,5,0,49,0,0,1,26:13,2,0,2,5-50,2.5,25,63,4.7,22-33,154,217,3-4,5-13,14,5,0,1,,,,5,13,3,4,5,50,22,33,1573.0
2025,4,NC State,401754538,ACC,away,33,3,2,71,0,4,3.0,0,2,8,0,32,3,5,1,32:29,3,1,4,6-49,4.9,35,171,9.3,29-39,364,535,1-4,7-12,26,-4,0,2,,,,7,12,1,4,6,49,29,39,1949.0
2025,4,Duke,401754538,ACC,home,45,3,3,51,0,2,9.0,1,1,7,0,28,2,9,2,27:31,0,0,0,8-103,4.3,35,149,9.6,19-28,269,418,2-2,5-12,22,,,,70,0,3,5,12,2,2,8,103,19,28,1651.0
2025,5,Wake Forest,401754546,ACC,home,29,3,0,,,,11.0,1,1,4,0,44,0,3,3,27:14,0,0,0,8-81,5.4,39,212,7.5,14-31,233,445,0-0,9-19,20,,,,,,,9,19,0,0,8,81,14,31,1634.0
